. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
156.75	4425.14		214.5	4256.51		214.47	563		4256.51	214.5		65.67731855	283.62		4425.14	156.75		58.85	-399.3		2040.2316	164.854
158.4	4483.57		216.15	4317.78		215.98	570		4317.78	216.15		66.08571429	283.18		4483.57	158.4		59.4	-392.5		2049.7125	99.271
160.05	4539.45		217.8	4400.42		217.09	582		4400.42	217.8		66.14387755	283.53		4539.45	160.05		59.95	-393.8		2058.67973	112.655
161.7	4599.7		219.45	4455.4		220.38	577		4455.4	219.45		66.50204082	281.58		4599.7	161.7		60.5	-394.4		2069.138889	47.912
163.35	4658.6		221.1	4495.58		220.52	568		4495.58	221.1		67.25510204	283.65		4658.6	163.35		61.05	-397		2081.334302	33.131
165	4717.34		222.75	4594.62		221.11	579		4594.62	222.75		69.10077399	284.15		4717.34	165		61.6	-397.8		2094.045977	18.088
166.65	4776.56		224.4	4642.58		222.25	584		4642.58	224.4		70.50384615	283.82		4776.56	166.65		62.15	-388.6		2105.520614	36.351
168.3	4837.69		226.05	4650.04		222.48	570		4650.04	226.05		70.62307692	285.09		4837.69	168.3		62.7	-394.7		2115.5145	19.718
169.95	4898.27		227.7	4749.95		224.23	570		4749.95	227.7		73.36225352	285.91		4898.27	169.95		63.25	-390.6		2126.583334	29.105
171.6	4955.4		229.35	4826.02		224.78	568		4826.02	229.35		74.39098101	281.36		4955.4	171.6		63.8	-397		2138.317816	25.925
173.25	5013.89		231	4891.28		225.12	582		4891.28	231		80.85679012	284.43		5013.89	173.25		64.35	-386.6		2150.983735	41.015
174.9	5073.67		232.65	4938.3		225.23	562		4938.3	232.65		89.40430328	282.8		5073.67	174.9		64.9	-390.6		2163.40989	101.857
176.55	5134.35		234.3	5005.04		225.94	580		5005.04	234.3		91.27608696	280.4		5134.35	176.55		65.45	-397		2175.73046	95.504
178.2	5192.23		235.95	5085.98		227.6	560		5085.98	235.95		91.59293478	282.3		5192.23	178.2		66	-396.1		2187.706482	77.525
179.85	5250.09		237.6	5088.55		228.74	580		5088.55	237.6		92.69724265	281.62		5250.09	179.85		66.55	-398.9		2197.147458	110.536
181.5	5310.46		239.25	5163.14		229.76	560		5163.14	239.25		98.03268341	273.07		5310.46	181.5		67.1	-400.2		2205.427431	200.41
183.15	5368.96		240.9	5252.8		231.4	563		5252.8	240.9		98.12101785	280.24		5368.96	183.15		67.65	-398.7		2212.269477	242.997
184.8	5427.26		242.55	5313		231.99	560		5313	242.55		98.77861864	277.86		5427.26	184.8		68.2	-389.7		2218.69	118.381
186.45	5493.35		244.2	5351.11		233.09	570		5351.11	244.2		99.16585826	276.4		5493.35	186.45		68.75	-401.6		2226.167605	72.796
188.1	5557.76		245.85	5371.54		233.48	563		5371.54	245.85		99.18345254	277.16		5557.76	188.1		69.3	-397.9		2232.686592	88.307
189.75	5617.6		247.5	5522.42		235.23	579		5522.42	247.5		99.41410923	278		5617.6	189.75		69.85	-399.2		2239.452286	87.674
191.4	5676.74		249.15	5556.91		235.78	570		5556.91	249.15		99.41840052	276.46		5676.74	191.4		70.4	-397.6		2246.399013	61.925
193.05	5737.28		250.8	5582.54		236.13	573		5582.54	250.8		99.47869311	277.6		5737.28	193.05		70.95	-390.5		2254.15935	31.093
194.7	5795.9		252.45	5713.71		236.23	568		5713.71	252.45		99.6473407	276.81		5795.9	194.7		71.5	-401.5		2263.339316	76.376
196.35	5852.38		254.1	5782.69		240.15	561		5782.69	254.1		99.80590377	278.31		5852.38	196.35		72.05	-395.7		2273.15	68.127
198	5909.33		255.75	5888.81		241.85	563		5835.44	257.4		100.0389207	277.01		5909.33	198		72.6	-394.5		2283.968617	64.815
199.65	5969.74		257.4	5835.44		242.88	551		5888.81	255.75		100.0421391	278.27		5969.74	199.65		73.15	-402.9		2298.345946	92.723
201.3	6033.05		259.05	5934.93		244.09	553		5934.93	259.05		100.6581525	277.36		6033.05	201.3		73.7	-401		2310.267826	55.973
